Region;Contagiados con Atraso;Contagiados;Muertes;Muertes_DEIS;Recuperados;Infectados_Actuales;UCI;Fecha;Total_Contagiados
Prov_Biobío;2718;2718;;48;;;;8/1/2020;
Prov_Arauco;821;821;;25;;;;8/1/2020;
Prov_Concepción;7800;7800;;164;;;;8/2/2020;
Prov_Biobío;2731;2731;;48;;;;8/2/2020;
Prov_Arauco;839;839;;26;;;;8/2/2020;
Prov_Concepción;7897;7897;;166;;;;8/3/2020;
Prov_Biobío;2744;2744;;48;;;;8/3/2020;
Prov_Arauco;848;848;;26;;;;8/3/2020;
Prov_Concepción;8025;8025;;169;;;;8/4/2020;
Prov_Biobío;2754;2754;;49;;;;8/4/2020;
Prov_Arauco;862;862;;26;;;;8/4/2020;
Prov_Concepción;8170;8170;;170;;;;8/5/2020;
Prov_Biobío;2773;2773;;49;;;;8/5/2020;
Prov_Arauco;871;871;;26;;;;8/5/2020;
Prov_Concepción;8345;8345;;174;;;;8/6/2020;
Prov_Biobío;2804;2804;;49;;;;8/6/2020;
Prov_Arauco;891;891;;27;;;;8/6/2020;
Prov_Concepción;8483;8483;;177;;;;8/7/2020;
Prov_Biobío;2832;2832;;49;;;;8/7/2020;
Prov_Arauco;912;912;;27;;;;8/7/2020;
Prov_Concepción;8665;8665;;180;;;;8/8/2020;
Prov_Biobío;2840;2840;;51;;;;8/8/2020;
Prov_Arauco;933;933;;28;;;;8/8/2020;
Prov_Concepción;8763;8763;;186;;;;8/9/2020;
Prov_Biobío;2855;2855;;51;;;;8/9/2020;
Prov_Arauco;935;935;;29;;;;8/9/2020;
Prov_Concepción;8888;8888;;188;;;;8/10/2020;
Prov_Biobío;2866;2866;;52;;;;8/10/2020;
Prov_Arauco;951;951;;29;;;;8/10/2020;
Prov_Concepción;8975;8975;;188;;;;8/11/2020;
Prov_Biobío;2870;2870;;54;;;;8/11/2020;
Prov_Arauco;953;953;;29;;;;8/11/2020;
Prov_Concepción;9171;9171;;188;;;;8/12/2020;
Prov_Biobío;2893;2893;;54;;;;8/12/2020;
Prov_Arauco;957;957;;29;;;;8/12/2020;
Prov_Concepción;9322;9322;;192;;;;8/13/2020;
Prov_Biobío;2914;2914;;54;;;;8/13/2020;
Prov_Arauco;983;983;;29;;;;8/13/2020;
Prov_Concepción;9465;9465;;194;;;;8/14/2020;
Prov_Biobío;2926;2926;;54;;;;8/14/2020;
Prov_Arauco;987;987;;29;;;;8/14/2020;
Prov_Concepción;9618;9618;;197;;;;8/15/2020;
Prov_Biobío;2948;2948;;57;;;;8/15/2020;
Prov_Arauco;1010;1010;;29;;;;8/15/2020;
Prov_Concepción;9772;9772;;200;;;;8/16/2020;
Prov_Biobío;2970;2970;;58;;;;8/16/2020;
Prov_Arauco;1023;1023;;30;;;;8/16/2020;
Prov_Concepción;9859;9859;;202;;;;8/17/2020;
Prov_Biobío;2983;2983;;60;;;;8/17/2020;
Prov_Arauco;1040;1040;;30;;;;8/17/2020;
Prov_Concepción;9967;9967;;204;;;;8/18/2020;
Prov_Biobío;2999;2999;;60;;;;8/18/2020;
Prov_Arauco;1053;1053;;32;;;;8/18/2020;
Prov_Concepción;10154;10154;;211;;;;8/19/2020;
Prov_Biobío;3037;3037;;61;;;;8/19/2020;
Prov_Arauco;1068;1068;;32;;;;8/19/2020;
Prov_Concepción;10381;10381;;213;;;;8/20/2020;
Prov_Biobío;3056;3056;;62;;;;8/20/2020;
Prov_Arauco;1080;1080;;34;;;;8/20/2020;
Prov_Concepción;10558;10558;;220;;;;8/21/2020;
Prov_Biobío;3091;3091;;62;;;;8/21/2020;
